DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,NumeroDeSolicitudes,NumeroDePredios,NumeroDeTitulares
Cundinamarca,Cabrera,25120,28,26,26
Santander,Onzaga,68502,6,6,6
Antioquia,Abriaquí,5004,15,12,7
Antioquia,Puerto Nare,5585,62,61,50
Bolívar,Altos Del Rosario,13030,46,40,37
Córdoba,San Carlos,23678,9,9,8
La Guajira,Hatonuevo,44378,6,6,5
Atlántico,Sabanagrande,8634,4,4,4
Antioquia,Santa Rosa De Osos,5686,25,24,20
Nariño,San Lorenzo,52687,38,34,34
Antioquia,Guarne,5318,46,45,29
Tolima,Saldaña,73671,20,20,11
Santander,Aratoca,68051,1,1,1
Cundinamarca,Sesquilé,25736,5,4,3
Cundinamarca,Nocaima,25491,2,1,2
Tolima,Anzoátegui,73043,178,146,164
Guainía,Barranco Minas,94343,44,39,39
Caquetá,La Montañita,18410,449,417,413
Tolima,Rovira,73624,293,249,229
La Guajira,Manaure,44560,1,1,1
Antioquia,Ituango,5361,366,324,258
Meta,Barranca De Upía,50110,34,30,26
Cauca,Rosas,19622,124,114,117
Valle Del Cauca,Sevilla,76736,91,84,69
Cundinamarca,Vianí,25867,8,8,5
Boyacá,San Luis De Gaceno,15667,17,17,13
Huila,Iquira,41357,66,63,61
Tolima,Honda,73349,17,6,13
Cundinamarca,Arbeláez,25053,72,56,45
Cauca,Paez,19517,121,115,97
Tolima,Coello,73200,2,2,2
Cundinamarca,Manta,25436,5,5,2
Meta,Lejanías,50400,178,162,152
Huila,Isnos,41359,57,50,47
Santander,Socorro,68755,2,1,2
Quindío,Filandia,63272,2,2,2
Nariño,Roberto Payán,52621,177,166,122
Caldas,Filadelfia,17272,19,19,17
Antioquia,San Roque,5670,248,229,175
Valle Del Cauca,Toro,76823,15,15,12
Tolima,Alvarado,73026,92,82,73
Córdoba,Cotorra,23300,3,3,2
Amazonas,Puerto Arica,91536,5,5,2
Magdalena,Nueva Granada,47460,32,28,26
Nariño,El Tablón De Gómez,52258,1235,1215,942
Sucre,Coloso,70204,257,199,207
Santander,Cepitá,68160,3,3,1
Cundinamarca,Guayabetal,25335,29,24,17
Norte Santander,Tibú,54810,2055,1878,1485
Antioquia,Valdivia,5854,137,121,113
Boyacá,Briceño,15106,6,6,3
Norte Santander,Durania,54239,11,10,7
Casanare,Tauramena,85410,158,142,117
Nariño,Olaya Herrera,52490,91,84,74
Córdoba,Los Córdobas,23419,18,17,17
Magdalena,San Zenón,47703,6,6,4
Boyacá,Caldas,15131,2,2,2
Norte Santander,San Cayetano,54673,7,7,7
Boyacá,Guacamayas,15317,1,1,1
Nariño,El Tambo,52260,25,25,18
Córdoba,Purísima,23586,3,3,3
Antioquia,Sopetrán,5761,12,12,10
Nariño,Iles,52352,1,1,1
Antioquia,Ebéjico,5240,8,7,7
Santander,San Andrés,68669,12,12,11
Sucre,Tolú Viejo,70823,132,126,113
Meta,Fuente De Oro,50287,125,87,75
Tolima,Villahermosa,73870,159,153,132
Boyacá,Cubará,15223,14,13,12
Nariño,Arboleda,52051,3,3,1
Antioquia,Titiribí,5809,3,3,3
Cundinamarca,Puerto Salgar,25572,34,33,24
Boyacá,Belén,15087,1,1,1
Boyacá,Otanche,15507,50,40,36
Cauca,Suárez,19780,92,90,81
Santander,Málaga,68432,7,6,7
Córdoba,San Antero,23672,6,6,5
Cundinamarca,Ubalá,25839,33,32,19
Cauca,Jambaló,19364,14,14,14
Cundinamarca,Guataquí,25324,12,7,11
Sucre,Chalán,70230,158,98,135
Antioquia,Giraldo,5306,20,20,20
Nariño,Tumaco,52835,1760,1578,1380
Atlántico,Ponedera,8560,134,101,38
Boyacá,Paya,15533,33,30,29
Chocó,El Litoral Del San Juan,27250,28,27,24
Atlántico,Luruaco,8421,15,15,9
Cundinamarca,La Palma,25394,998,852,575
Antioquia,Sonsón,5756,569,414,344
Tolima,Ibagué,73001,358,324,295
Santander,Albania,68020,15,13,12
Caquetá,Morelia,18479,80,77,71
Sucre,El Roble,70233,29,27,25
Norte Santander,Puerto Santander,54553,7,6,7
Cauca,Piamonte,19533,422,411,387
Cundinamarca,Chía,25175,13,13,4
Antioquia,Carepa,5147,265,252,222
La Guajira,Distracción,44098,64,57,53
Caldas,Samaná,17662,1190,1047,954
Bolívar,Simití,13744,226,202,162
Cundinamarca,Guaduas,25320,30,26,19
Magdalena,El Retén,47268,19,12,19
Cauca,Puerto Tejada,19573,17,15,16
Cauca,Inzá,19355,73,69,69
Caldas,Risaralda,17616,15,13,15
Putumayo,Puerto Asís,86568,878,838,788
Antioquia,Yolombó,5890,132,123,97
Cauca,Bolívar,19100,312,302,227
Cauca,La Sierra,19392,97,85,87
Risaralda,Apía,66045,44,43,33
Antioquia,Envigado,5266,13,13,13
Meta,Villavicencio,50001,265,247,175
Sucre,Corozal,70215,39,14,37
Cundinamarca,Pacho,25513,118,118,61
Cundinamarca,Sasaima,25718,26,22,23
Tolima,Valle De San Juan,73854,194,175,136
Santander,Suratá,68780,42,39,29
Nariño,Guaitarilla,52320,7,6,5
Magdalena,Zapayán,47960,44,25,30
Cesar,San Alberto,20710,495,445,361
Risaralda,La Virginia,66400,6,6,6
Nariño,La Tola,52390,27,26,22
Cesar,El Paso,20250,108,108,85
Amazonas,La Pedrera,91407,3,3,1
Sucre,San Onofre,70713,370,336,286
Cesar,La Paz,20621,269,228,219
Boyacá,Socotá,15755,92,60,32
Putumayo,Sibundoy,86749,10,9,9
Santander,Guavatá,68324,4,4,3
Nariño,Consaca,52207,24,23,15
Norte Santander,Pamplona,54518,9,9,5
La Guajira,Riohacha,44001,314,286,265
Magdalena,Ariguaní,47058,106,89,85
Cauca,Mercaderes,19450,95,92,78
Antioquia,Frontino,5284,194,160,137
Antioquia,Marinilla,5440,11,11,10
Antioquia,Remedios,5604,269,263,196
Santander,Puerto Parra,68573,152,142,126
Córdoba,Puerto Escondido,23574,35,27,28
Caldas,La Dorada,17380,75,67,49
Chocó,Cértegui,27160,14,13,11
Boyacá,Pauna,15531,18,12,14
Norte Santander,Abrego,54003,266,233,223
Tolima,Mariquita,73443,59,57,55
Santander,Matanza,68444,75,64,61
Valle Del Cauca,Cartago,76147,29,29,24
Putumayo,San Francisco,86755,59,58,58
Córdoba,Montelíbano,23466,304,259,241
Antioquia,Peñol,5541,33,28,29
Arauca,Cravo Norte,81220,82,79,63
Magdalena,Aracataca,47053,541,507,456
Santander,Chima,68176,11,11,10
Putumayo,Puerto Leguízamo,86573,505,483,445
Santander,San José De Miranda,68684,1,1,1
Nariño,Belén,52083,13,13,12
Quindío,Armenia,63001,39,39,23
Boyacá,Labranzagrande,15377,54,54,49
Caldas,Pensilvania,17541,497,472,398
Atlántico,Sabanalarga,8638,19,14,14
Antioquia,Argelia,5055,428,341,254
Tolima,Guamo,73319,16,16,13
Tolima,Murillo,73461,36,29,28
Caquetá,El Paujil,18256,120,88,113
Sucre,Sincelejo,70001,83,68,78
Boyacá,Aquitania,15047,64,62,43
Antioquia,Amagá,5030,15,15,11
Norte Santander,Chitagá,54174,65,62,39
Cundinamarca,La Peña,25398,34,33,31
Nariño,Santacruz,52699,90,80,71
Valle Del Cauca,Vijes,76869,17,16,16
Risaralda,Santa Rosa De Cabal,66682,10,10,8
La Guajira,Fonseca,44279,44,42,41
Norte Santander,Villa Del Rosario,54874,59,58,48
Valle Del Cauca,El Cairo,76246,48,41,40
Chocó,Carmen del Darién,27150,119,108,93
Casanare,Sabanalarga,85300,40,27,18
Atlántico,Barranquilla,8001,178,173,138
Magdalena,Chibolo,47170,468,430,381
Cundinamarca,Tibacuy,25805,29,28,24
Casanare,Chameza,85015,22,22,20
Cauca,Buenos Aires,19110,161,153,143
Antioquia,El Bagre,5250,826,781,722
Córdoba,Buenavista,23079,28,26,23
Valle Del Cauca,El Cerrito,76248,32,32,28
Santander,Galán,68296,8,8,8
Caquetá,Belén De Los Andaquies,18094,165,156,153
Casanare,Paz De Ariporo,85250,109,99,98
Bolívar,Mompós,13468,16,16,15
Chocó,Condoto,27205,32,29,30
Nariño,Colón,52203,70,66,62
Valle Del Cauca,Tuluá,76834,578,486,466
Tolima,Icononzo,73352,123,95,106
Huila,Campoalegre,41132,48,40,42
Cauca,Sucre,19785,53,40,49
Córdoba,Lorica,23417,21,18,18
Antioquia,Jardín,5364,8,6,7
Bolívar,Hatillo De Loba,13300,13,12,11
Boyacá,Quípama,15580,34,31,25
Santander,El Peñón,68250,69,66,56
Nariño,Linares,52411,41,41,35
Córdoba,San Andrés Sotavento,23670,5,5,4
Valle Del Cauca,Yumbo,76892,9,8,9
Norte Santander,San Calixto,54670,97,93,83
Caquetá,El Doncello,18247,148,143,127
Caquetá,Albania,18029,41,41,38
Chocó,Riosucio,27615,1535,1390,1228
Antioquia,Abejorral,5002,74,65,63
Atlántico,Piojó,8549,91,72,82
Antioquia,Guadalupe,5315,10,10,8
Huila,Palermo,41524,42,41,40
Putumayo,Puerto Guzmán,86571,1414,1346,1273
Bolívar,Norosí,13490,30,28,29
Caquetá,Valparaíso,18860,301,273,259
Casanare,Maní,85139,157,123,124
Sucre,Morroa,70473,478,369,389
Chocó,Medio Atrato,27425,50,41,40
Santander,Lebríja,68406,171,158,137
Santander,Barrancabermeja,68081,747,723,614
Norte Santander,Cúcuta,54001,716,682,525
Casanare,Hato Corozal,85125,135,124,117
Tolima,Cajamarca,73124,82,51,69
Valle Del Cauca,Florida,76275,72,71,55
Nariño,Magüi,52427,132,118,103
Antioquia,Angelópolis,5036,17,17,14
Valle Del Cauca,Versalles,76863,18,17,16
Santander,Valle De San José,68855,1,1,1
Valle Del Cauca,Calima,76126,120,101,106
Antioquia,Bello,5088,188,156,134
Norte Santander,Cachirá,54128,79,73,65
Cundinamarca,Tocaima,25815,10,10,8
Magdalena,Sabanas de San Ángel,47660,507,456,420
Putumayo,Villa Garzón,86885,690,660,591
Boyacá,Zetaquira,15897,3,3,3
Nariño,Samaniego,52678,121,114,106
Magdalena,Puebloviejo,47570,281,222,247
Tolima,Piedras,73547,29,27,22
Nariño,Los Andes,52418,597,581,451
Cundinamarca,Fosca,25281,10,10,4
Nariño,Sandoná,52683,12,12,11
Huila,Saladoblanco,41660,42,35,37
Meta,Cabuyaro,50124,58,34,48
Magdalena,Salamina,47675,137,128,123
La Guajira,Albania,44035,26,25,23
Guaviare,El Retorno,95025,275,262,235
Boyacá,Tunja,15001,2,2,2
Huila,Suaza,41770,36,32,35
Santander,Charalá,68167,7,6,6
Casanare,Orocué,85230,138,122,117
Huila,Oporapa,41503,17,16,17
Caldas,Chinchiná,17174,13,13,5
Nariño,Albán,52019,209,207,162
Nariño,Funes,52287,14,12,13
Antioquia,Cañasgordas,5138,129,119,91
Chocó,El Carmen De Atrato,27245,186,166,168
Meta,San Martín,50689,267,238,187
Sucre,Santiago De Tolú,70820,40,35,31
Antioquia,Santafé De Antioquia,5042,30,27,16
Cauca,Patía,19532,259,246,231
Santander,Bucaramanga,68001,67,61,41
Meta,Puerto Lleras,50577,444,387,322
Meta,Guamal,50318,31,25,28
Antioquia,Cáceres,5120,991,886,862
La Guajira,San Juan Del Cesar,44650,71,68,64
Cundinamarca,Medina,25438,182,176,119
Bolívar,Cartagena,13001,201,179,190
Putumayo,Puerto Caicedo,86569,679,661,610
Córdoba,Sahagún,23660,9,9,6
Chocó,Atrato,27050,10,10,8
Caldas,Riosucio,17614,78,76,66
Tolima,Roncesvalles,73622,151,134,133
Boyacá,Pajarito,15518,42,23,31
La Guajira,Urumita,44855,27,25,23
Bolívar,Santa Rosa Del Sur,13688,134,130,116
Cesar,La Jagua De Ibirico,20400,551,470,451
Amazonas,Puerto Alegría,91530,4,4,3
Chocó,Acandí,27006,168,143,131
Santander,Landázuri,68385,85,79,69
Caquetá,San Vicente Del Caguán,18753,991,875,863
Meta,Puerto López,50573,295,213,222
Cundinamarca,Chipaque,25178,12,12,6
Antioquia,Briceño,5107,100,95,60
Norte Santander,Toledo,54820,35,34,32
Valle Del Cauca,Cali,76001,317,277,249
Cauca,Popayán,19001,214,192,191
Magdalena,Pijiño Del Carmen,47545,26,22,18
Bolívar,San Martín De Loba,13667,93,92,85
Nariño,Leiva,52405,127,123,112
Chocó,Istmina,27361,68,68,49
Norte Santander,El Tarra,54250,189,174,158
Antioquia,Turbo,5837,2760,2539,2088
Meta,Puerto Concordia,50450,251,236,216
Antioquia,El Carmen De Viboral,5148,169,152,109
Antioquia,Zaragoza,5895,262,258,210
Santander,Aguada,68013,5,5,4
Nariño,Cumbitara,52233,224,212,183
Antioquia,La Pintada,5390,10,9,7
Bolívar,Calamar,13140,125,111,116
Putumayo,Valle Del Guamuez,86865,2043,1965,1707
Valle Del Cauca,Roldanillo,76622,44,42,26
Meta,Acacías,50006,295,279,220
Antioquia,Nariño,5483,222,192,171
Cauca,Silvia,19743,40,37,38
Cesar,Becerril,20045,550,434,459
Antioquia,Campamento,5134,41,37,27
Cesar,Manaure,20443,67,59,61
Risaralda,Balboa,66075,7,7,5
Magdalena,Pedraza,47541,13,13,13
Guaviare,San José Del Guaviare,95001,919,878,772
Antioquia,San Carlos,5649,1949,1847,1378
Amazonas,Puerto Santander,91669,18,15,15
Arauca,Tame,81794,494,463,396
Caldas,Aguadas,17013,63,55,55
Valle Del Cauca,Buenaventura,76109,932,877,711
Tolima,Herveo,73347,60,58,52
Arauca,Arauquita,81065,383,348,320
Chocó,Nuquí,27495,18,17,15
Risaralda,Quinchía,66594,333,322,252
Valle Del Cauca,Bugalagrande,76113,350,279,238
Norte Santander,El Carmen,54245,175,163,134
Cesar,El Copey,20238,684,630,542
Santander,El Guacamayo,68245,1,1,1
Chocó,Medio Baudó,27430,40,34,36
Casanare,Aguazul,85010,146,121,116
Norte Santander,Los Patios,54405,39,39,31
Tolima,San Antonio,73675,290,228,240
Cesar,Pueblo Bello,20570,238,219,185
Cauca,Cajibío,19130,645,623,574
Huila,Tello,41799,92,84,85
Casanare,Pore,85263,106,98,98
Tolima,Lérida,73408,205,193,152
Antioquia,Anorí,5040,130,122,102
Cundinamarca,Quipile,25596,69,68,39
Caldas,Norcasia,17495,58,50,41
Magdalena,Plato,47555,271,238,220
Córdoba,Ayapel,23068,134,127,118
Cauca,López,19418,131,112,110
Sucre,Guaranda,70265,36,34,28
Magdalena,Zona Bananera,47980,402,211,361
Sucre,Los Palmitos,70418,178,166,148
Tolima,Líbano,73411,492,436,366
Antioquia,San Juan De Urabá,5659,39,38,35
Sucre,San Pedro,70717,111,106,98
Bolívar,Pinillos,13549,21,16,19
Santander,Bolívar,68101,87,86,73
Caldas,Salamina,17653,108,91,62
Cundinamarca,Vergara,25862,22,20,18
Norte Santander,Sardinata,54720,342,325,279
Tolima,Armero,73055,68,66,53
Antioquia,Mutatá,5480,692,667,550
Chocó,Bahía Solano,27075,57,56,30
Tolima,Alpujarra,73024,45,36,33
Casanare,Monterrey,85162,117,85,79
Cauca,Guapí,19318,126,118,83
Tolima,Fresno,73283,76,71,62
Cundinamarca,Paratebueno,25530,50,45,34
Vaupés,Carurú,97161,53,53,46
Meta,Mapiripán,50325,1568,1487,1252
Boyacá,Tota,15822,1,1,1
Cesar,Valledupar,20001,1305,1128,982
Casanare,Támara,85400,45,42,38
Nariño,Barbacoas,52079,289,270,240
Cesar,Chiriguaná,20178,257,211,223
Tolima,Ataco,73067,1574,1363,1096
Caldas,Anserma,17042,93,84,70
Chocó,Unión Panamericana,27810,13,13,8
Cesar,Pailitas,20517,420,379,343
Nariño,Ipiales,52356,266,256,213
Magdalena,Tenerife,47798,178,166,163
Putumayo,Orito,86320,1034,1001,949
Córdoba,Ure,23682,355,331,319
Norte Santander,Hacarí,54344,78,74,64
Risaralda,Guática,66318,75,74,53
Antioquia,Chigorodó,5172,514,476,414
Chocó,Medio San Juan,27450,20,19,20
Caquetá,Solita,18785,132,130,122
Amazonas,Leticia,91001,5,5,5
Magdalena,Guamal,47318,13,12,12
Córdoba,Tierralta,23807,958,888,800
Magdalena,Santa Marta,47001,615,553,519
Chocó,Río Quito,27600,13,12,13
Putumayo,San Miguel,86757,875,845,780
Norte Santander,Bochalema,54099,6,6,5
La Guajira,La Jagua Del Pilar,44420,12,10,12
Cauca,Sotará,19760,42,41,39
Santander,California,68132,6,4,6
Nariño,Mallama,52435,57,52,47
Cauca,El Tambo,19256,830,769,688
La Guajira,Villanueva,44874,83,76,69
Antioquia,Caucasia,5154,412,398,354
Nariño,El Charco,52250,111,104,93
Antioquia,Dabeiba,5234,613,522,393
Antioquia,Toledo,5819,30,30,23
Antioquia,Puerto Berrío,5579,85,81,68
Antioquia,Girardota,5308,48,41,28
Chocó,Bajo Baudó,27077,23,19,19
Antioquia,Buriticá,5113,25,17,20
Atlántico,Galapa,8296,8,7,8
Huila,Garzón,41298,111,91,94
Caquetá,San José Del Fragua,18610,210,197,195
Tolima,Chaparral,73168,552,451,464
Cesar,Aguachica,20011,267,257,196
Vichada,Santa Rosalía,99624,52,51,41
Antioquia,Santa Bárbara,5679,27,24,19
Santander,Zapatoca,68895,42,39,37
Antioquia,Nechí,5495,414,400,334
Córdoba,La Apartada,23350,19,19,15
Atlántico,Repelón,8606,48,45,40
Cundinamarca,Paime,25518,16,16,11
Boyacá,Puerto Boyacá,15572,84,83,68
Cauca,Caldono,19137,57,52,47
Valle Del Cauca,Dagua,76233,330,316,267
Chocó,Río Iro,27580,102,101,60
Santander,El Carmen De Chucurí,68235,372,345,307
Bolívar,Montecristo,13458,93,91,86
Caquetá,Solano,18756,230,218,215
Antioquia,Granada,5313,1301,1286,896
Santander,El Playón,68255,131,124,105
Antioquia,Necoclí,5490,746,684,573
Magdalena,Ciénaga,47189,946,799,805
Tolima,San Luis,73678,85,71,74
Meta,Puerto Gaitán,50568,680,601,510
Antioquia,Segovia,5736,149,146,120
Tolima,Ortega,73504,307,279,243
Casanare,Sácama,85315,18,18,18
Bolívar,Turbaco,13836,95,87,62
Antioquia,La Ceja,5376,9,9,7
Meta,San Juan De Arama,50683,218,202,182
Antioquia,Vegachí,5858,120,102,95
Nariño,La Unión,52399,357,355,315
Tolima,Cunday,73226,146,139,125
Cesar,Río De Oro,20614,204,157,147
Risaralda,Pueblo Rico,66572,341,308,259
Huila,San Agustín,41668,71,67,64
Antioquia,Fredonia,5282,18,15,12
Sucre,San Marcos,70708,31,29,24
Valle Del Cauca,Restrepo,76606,20,13,13
Tolima,Prado,73563,126,113,97
Chocó,Alto Baudó,27025,30,29,28
Caldas,Villamaría,17873,24,23,19
Bolívar,Mahates,13433,47,45,45
Vichada,Puerto Carreño,99001,62,58,56
Santander,Molagavita,68468,4,4,4
Antioquia,Yarumal,5887,97,89,69
Bolívar,Regidor,13580,38,33,33
Chocó,Juradó,27372,58,25,32
Bolívar,Barranco De Loba,13074,64,60,54
Santander,Floridablanca,68276,21,21,15
Antioquia,San Luis,5660,376,322,291
Meta,Granada,50313,115,101,88
Huila,Baraya,41078,242,231,196
Risaralda,Santuario,66687,58,53,50
Cundinamarca,Pulí,25580,48,47,38
Tolima,Rioblanco,73616,861,751,671
Antioquia,Amalfi,5031,126,122,97
Cesar,Bosconia,20060,72,66,63
Santander,San Vicente De Chucurí,68689,348,332,301
Nariño,Puerres,52573,12,10,11
Santander,Sabana De Torres,68655,592,530,436
Santander,Betulia,68092,114,109,99
Cesar,San Diego,20750,319,241,274
Bolívar,San Juan Nepomuceno,13657,629,597,519
Tolima,Dolores,73236,197,152,148
Cundinamarca,Yacopí,25885,320,290,239
Cesar,La Gloria,20383,527,456,486
Antioquia,Yondó,5893,269,254,213
Tolima,Ambalema,73030,78,56,52
Arauca,Fortul,81300,60,58,51
Magdalena,Sitionuevo,47745,577,450,410
Boyacá,Miraflores,15455,18,18,13
Magdalena,El Banco,47245,45,44,42
Cauca,La Vega,19397,345,316,279
Norte Santander,Chinácota,54172,7,7,7
Antioquia,Valparaíso,5856,5,5,5
Antioquia,Montebello,5467,498,471,313
Putumayo,Mocoa,86001,179,167,157
Bolívar,San Estanislao,13647,55,53,51
Cesar,Curumaní,20228,405,351,329
Huila,Algeciras,41020,234,215,203
Antioquia,Salgar,5642,107,101,89
Nariño,Santa Bárbara,52696,453,417,371
Meta,Vistahermosa,50711,972,909,792
Magdalena,Remolino,47605,749,731,594
Norte Santander,El Zulia,54261,244,222,144
Caquetá,Curillo,18205,251,243,230
Valle Del Cauca,Jamundí,76364,300,279,235
Arauca,Arauca,81001,152,141,136
Bolívar,San Jacinto,13654,1236,1107,1008
Córdoba,Canalete,23090,104,89,95
Arauca,Saravena,81736,198,189,151
Chocó,Quibdó,27001,172,162,119
La Guajira,Barrancas,44078,108,103,103
Caquetá,Puerto Rico,18592,588,556,523
Bolívar,Santa Rosa,13683,19,19,15
Chocó,Nóvita,27491,40,38,29
Antioquia,Apartadó,5045,803,745,651
Antioquia,Arboletes,5051,611,581,277
Tolima,Venadillo,73861,145,138,106
Sucre,Ovejas,70508,963,725,819
Cesar,Tamalameque,20787,187,172,137
Meta,Puerto Rico,50590,765,709,649
Córdoba,Planeta Rica,23555,50,48,38
Antioquia,Urrao,5847,236,221,165
